"","source","target","weight","date"
"276","fa10-01-03","fa10-01-05",0,2010-09-01
"277","fa10-01-03","fa10-01-75",0,2010-09-01
"278","fa10-01-03","fa10-01-01",0,2010-09-01
"279","fa10-01-03","fa10-01-02",0,2010-09-01
"280","fa10-01-03","fa10-01-20",1,2010-09-01
"281","fa10-01-03","fa10-01-76",0,2010-09-01
"282","fa10-01-03","fa10-01-58",0,2010-09-01
"283","fa10-01-03","fa10-01-21",0,2010-09-01
"284","fa10-01-03","sp10-01-28",0,2010-09-01
"285","fa10-01-03","sp10-01-26",0,2010-09-01
"286","fa10-01-03","sp10-01-55",2,2010-09-01
"287","fa10-01-03","sp10-01-05",0,2010-09-01
"288","fa10-01-03","sp10-01-35",0,2010-09-01
"289","fa10-01-03","fa10-01-35",0,2010-09-01
"290","fa10-01-03","fa10-01-40",0,2010-09-01
"291","fa10-01-03","fa10-01-60",0,2010-09-01
"292","fa10-01-03","sp10-01-23",0,2010-09-01
"293","fa10-01-03","sp10-01-11",0,2010-09-01
"294","fa10-01-03","sp10-01-12",0,2010-09-01
"295","fa10-01-03","sp10-01-07",0,2010-09-01
"296","fa10-01-03","sp10-01-08",0,2010-09-01
"297","fa10-01-03","fa10-01-24",0,2010-09-01
"298","fa10-01-03","fa10-01-39",0,2010-09-01
"299","fa10-01-03","sp10-01-19",0,2010-09-01
"300","fa10-01-03","sp10-01-34",0,2010-09-01
"301","fa10-01-03","fa10-01-69",0,2010-09-01
"302","fa10-01-03","sp10-01-32",0,2010-09-01
"303","fa10-01-03","sp10-01-42",0,2010-09-01
"304","fa10-01-03","sp10-01-40",0,2010-09-01
"305","fa10-01-03","sp10-01-41",0,2010-09-01
"306","fa10-01-03","sp10-01-37",0,2010-09-01
"307","fa10-01-03","fa10-01-48",0,2010-09-01
"308","fa10-01-03","fa10-01-47",0,2010-09-01
"309","fa10-01-03","fa10-01-59",0,2010-09-01
"310","fa10-01-03","fa10-01-10",0,2010-09-01
"311","fa10-01-03","fa10-01-33",0,2010-09-01
"312","fa10-01-03","fa10-01-77",0,2010-09-01
"313","fa10-01-03","sp10-01-22",0,2010-09-01
"314","fa10-01-03","fa10-01-16",0,2010-09-01
"315","fa10-01-03","fa10-01-36",0,2010-09-01
"316","fa10-01-03","fa10-01-08",0,2010-09-01
"317","fa10-01-03","fa10-01-46",0,2010-09-01
"318","fa10-01-03","fa10-01-41",0,2010-09-01
"319","fa10-01-03","fa10-01-22",0,2010-09-01
"320","fa10-01-03","sp10-01-25",0,2010-09-01
"321","fa10-01-03","fa10-01-51",0,2010-09-01
"322","fa10-01-03","fa10-01-23",0,2010-09-01
"323","fa10-01-03","sp10-01-18",0,2010-09-01
